slang,full_word
iccl,I couldn't care less
idek,I don't even know
idgaf,I don't give a f**k
idgi,I don't get it
idky,I don't know you
idl,ideal
idm,it doesn't matter
idst,I didn't say that
idts,I don't think so
ifu,I f**ked up
igtp,I get the point
ihaim,I have another instant message
ihno,I have no opinion
iimad,if it makes a difference
iir,if I remember
iiwm,if it were me
ik,I know
imnsho,in my not so humble opinion
ims,I'm sorry
in4ml,informal
inmp,it's not my problem
inpo,in no particular order
innw,"if not now, when?"
ioh,I'm outta here
iss,I said so
istm,it seems to me
istr,I seem to remember(recall)
iswym,I see what you mean
itm,in the money
ium,if you must
iyss,if you say so
j/c,just checking
j/k or jk,just kidding
j/w,just wondering
jad,just another day
jam,just a minute
joo or j00,you
k,ok
kbd,keyboard
kewl or kool,cool
kfy,kiss for you
kir,keep it real
kiss,"keep it simple, stupid"
kk,ok
kma,kiss my a**
kok,knock
kotc,kiss on the cheek
kotl,kiss on the lips
kthx,"ok, thanks"
kwim,know what I mean
kthxbai,"ok, thanks, bye"
kthxbye,"ok, thanks, bye"
kutgw,keep up the good work
kypo,keep your pants on
l8,late
laf or laff,laugh
laq,lame a** quote
lil,little
lola,laugh out loud again
ltic,laugh til I cry
lul or lulz,lol
luv,love
m,am
mai,my
mfd,multi function device
mhbfy,my heart bleeds for you
mhoty,my hats off to you
mite,might
mkop,my kind of place
mmk,ok
moar,more
mof,matter of fact
moos,members of the opposite sex
moss,members of the same sex
mte,my thoughts exactly
mubar,messed up beyond all recognition
mwbrl,more will be revealed later
n,"""and"" or ""in"""
n/t,no text
n2m,not to mention
nagi,not a good idea
naz,"name, address, zip"
ncg,new college graduate
ne1,anyone
nething,anything
ng,new game
nimby,not in my backyard
nimq,not in my queue
nmp,not my problem
no1,no-one
noyb,none of your business
nrg,energy
ntk,nice to know
ntn,nothing
ntymi,now that you mention it
nw,no way!
o,oh
oaus,on an unrelated subject
oars,"oh no, not again"
obtw,oh by the way
oh,over heard
oll,online love
omdb,over my dead body
omik,"open mouth, insert keyboard"
ootb,out of the blue
ot,off topic
ott,over the top
ottomy,off the top of my head
ousu,"oh you, shut up"
owtte,or words to that effect
p&c,private and confidential
pans,pretty awesome new stuff
pcm,please call me
pdq,pretty darn quick
pd,public domain
pebkac,problem exists between keyboard and chair
pimp,peeing in my pants
pita,pain in the a**
pls,please
plz,please
pmfji,pardon me for jumping in
po,piss off
pog,poggers
poof,good bye
ppl or peeps,people
ptl,praise the lord
pza,pizza
ql,quit laughing
r,are
r&d,research and development
r&r,rest and relaxation
rbay,right back at ya
rbtl,read between the lines
re,regarding
rfd,request for discussion
rite,right
rlf,real life friend
rlh,run like hell
rmlb,read my lips baby
rn,right now
rofl,rolling on floor laughing
roflmao,rolling on floor laughing my a** off
rq,real quick
rsn,real soon now
rtfaq,read the faq file
rtk,return to keyboard
ruok,are you ok?
ruup4it,are you up for it?
ryo,roll your own
s or <s>,smile
scnr,"sorry, could not resist"
sep,someone elses problem
sez,says
sfete,smiling from ear to ear
sh,sh** happens
sitd,still in the dark
slirk,smart little rich kid
smaim,send me an instant message
sme,subject matter expert
smem,send me e-mail
smh,shake my head
snafu,"situation normal, all f***ed up"
so,significant other
sok,it's ok
some1,someone
sorg,straight or gay
soz,sorry
spk,speak
srlsy,seriously
sro,standing room only
sry,sorry
ssdd,same sh** different day
sth,something
str8,straight
stra,stray
stys,speak to ya soon
sum,some
sum1,someone
suyf,shut up you fool
"sux, sux0r",suck
swak,sealed with a kiss
swdyt,so what do you think
ta,the
tafn,that is all for now
tah,take a hike
tarfu,things are really f***ed up
tas,taking a shower
tbc,to be continued
tdtm,talk dirty to me
teh,the
tfn,thanks for nothing
thanx,thanks
thnq,thank you
tho,though
thot,thought
thx,thanks
tia,thanks in advance
tiail,think I am in love
tic,tongue in cheek
tlgo,the list goes on
tm,trust me
tna,temporarily not available
tom,tomorrow
tot,tons of time
tp,"toilet paper, think positive, or team player"
tptb,the powers that be
ttg,time to go
ttly,totally
ttt,that's the ticket
ttyl,talk to you later
twimc,to whom it may concern
tyvm,thank you very much
u,you
u2,you too?
uok,are you ok?
ur or ure,your or you're
usu,usually
uve,you've
vbg,very big grin
vbs,very big smile
vm,voice mail
vrbs,virtual reality bull sh**
vsf,very sad face
wad,without a doubt
wai,what an idiot
wan2,want to
wanna,want to
w/o,without
w84m,wait for me
wat,what
wc,who cares
wdys,what did you say
wdyt,what do you think
weeb,weaboo
wf,way fun
wfm,"wait for me, works for me"
wiifm,what's in it for me
wknd,weekend
woulda,would of
wn,when
wog,wise old guy
wrt,"with regards to, or with respect to"
wt,without thinking
wtsds,where the sun don't shine
wu,what up?
wut,what
wwy,where were you?
wycm,will you call me?
wyp,what's your problem?
wyrn,what's your real name?
wys,whatever you say
wyt,whatever you think
wywh,wish you were here
x-i-10,exciting
xlnt,excellent
xme,excuse me
y,why
ya,yet another
yafiygi,"you asked for it, you got it"
ydkm,you don't know me
ygbk,you gotta be kidding
yhm,you have mail
yic,yours in Christ
ykw,you know what
YM,you mean
ynk,you never know
yr,"your, yeah right"
yoyo,you're on your own
ysyd,"yeah, sure you do"
yttt,you telling the truth?
yup,Yes
yur,your or you're
yyssw,"yeah, yeah, sure sure whatever"
zzz,"sleeping, tired, bored"
